id,key,value,type
121862,highway,traffic_signals,regular
124700,ref,180,regular
124700,name,Trafikplats Danderyds k:a,regular
124700,highway,motorway_junction,regular
156094,highway,traffic_signals,regular
156094,lcn_ref,Västberga ind omr,regular
159868,highway,traffic_signals,regular
159965,highway,crossing,regular
160991,highway,traffic_signals,regular
161882,highway,turning_circle,regular
161929,highway,turning_circle,regular
167907,highway,crossing,regular
169919,highway,crossing,regular
180873,highway,crossing,regular
180873,crossing,zebra,regular
180926,highway,traffic_signals,regular
194889,highway,traffic_signals,regular
271853,bus,yes,regular
271853,source,Mapillary,regular
271853,highway,bus_stop,regular
271853,public_transport,stop_position,regular
311214,name,Hovslagarkurvan,regular
311955,ref,143,regular
311955,name,Trafikplats Saltskog,regular
311955,highway,motorway_junction,regular
311955,road_ref,E 20,exit
311991,highway,crossing,regular
312471,highway,turning_circle,regular
314324,bus,yes,regular
314324,name,Brunnsholm vägskäl,regular
314324,highway,bus_stop,regular
314324,public_transport,stop_position,regular
315334,ref,132,regular
315334,name,Trafikplats Kungsladugården,regular
315334,highway,motorway_junction,regular
320588,highway,traffic_signals,regular
423868,highway,traffic_signals,regular
424510,bus,yes,regular
424510,highway,bus_stop,regular
424510,public_transport,stop_position,regular
425575,highway,crossing,regular
431376,bus,yes,regular
431376,highway,bus_stop,regular
431376,public_transport,stop_position,regular
431516,ref,151,regular
431516,name,Trafikplats Kungsängen,regular
431516,highway,motorway_junction,regular
433123,bus,yes,regular
433123,highway,bus_stop,regular
433123,public_transport,stop_position,regular
433498,ref,Mö,regular
433498,name,Mölnbo,regular
433498,train,yes,regular
433498,railway,station,regular
433498,wikipedia,sv:Mölnbo station,regular
433498,sl_stop_id,9541,regular
433498,public_transport,stop_position,regular
433498,track_ref,2,railway
440107,highway,give_way,regular
440525,ref,135,regular
440525,name,Trafikplats Tystberga,regular
440525,highway,motorway_junction,regular
442962,ref,139,regular
442962,name,Trafikplats Hölö,regular
442962,highway,motorway_junction,regular
599478,bus,yes,regular
599478,name,Röset,regular
599478,highway,bus_stop,regular
599478,public_transport,stop_position,regular
606803,bus,yes,regular
606803,name,Skeppargatan,regular
606803,source,survey:20140621,regular
606803,public_transport,stop_position,regular
608999,name,Trafikplats Trångsund,regular
608999,exit_to,Trångsund,regular
608999,highway,motorway_junction,regular
609056,highway,traffic_signals,regular
655272,highway,traffic_signals,regular
1939859,created_by,JOSM,regular
1939893,created_by,JOSM,regular
1990076,highway,traffic_signals,regular
2357514,highway,traffic_signals,regular
5071732,barrier,block,regular
5071770,created_by,JOSM,regular
5071805,created_by,JOSM,regular
5443623,highway,turning_circle,regular
5443634,created_by,JOSM,regular
5443710,created_by,JOSM,regular
5482272,highway,traffic_signals,regular
5493325,highway,traffic_signals,regular
5494393,highway,traffic_signals,regular
5501752,highway,traffic_signals,regular
5530966,amenity,ferry_terminal,regular
5712029,highway,traffic_signals,regular
6958831,created_by,JOSM,regular
6963214,created_by,JOSM,regular
6963256,highway,turning_circle,regular
6990282,created_by,JOSM,regular
7110982,created_by,JOSM,regular
7111024,created_by,JOSM,regular
7226389,created_by,JOSM,regular
7226419,created_by,JOSM,regular
7226437,created_by,JOSM,regular
7272388,highway,turning_circle,regular
7534177,created_by,JOSM,regular
7534188,created_by,JOSM,regular
7534199,created_by,JOSM,regular
7534210,created_by,JOSM,regular
7534220,created_by,JOSM,regular
8080582,bus,yes,regular
8080582,name,Hanselligatan,regular
8080582,highway,bus_stop,regular
8080582,public_transport,stop_position,regular
8080851,ref,181,regular
8080851,name,Trafikplats Arlanda,regular
8080851,highway,motorway_junction,regular
8080883,ref,179,regular
8080883,name,Trafikplats Rosersberg,regular
8080883,highway,motorway_junction,regular
8082103,name,STF Vandrarhem Zinkensdamm,regular
8082103,brand,STF,regular
8082103,tourism,hostel,regular
8082103,website,http://www.vandrarhemmetzinkensdamm.com/,regular
8082103,wheelchair,limited,regular
8089737,created_by,JOSM,regular
8089770,highway,turning_circle,regular
8089850,created_by,JOSM,regular
8089860,created_by,JOSM,regular
8089880,created_by,JOSM,regular
8089891,highway,crossing,regular
8095908,created_by,JOSM,regular
8099374,highway,turning_circle,regular
9726169,created_by,JOSM,regular
10463616,highway,turning_circle,regular
10585635,highway,turning_circle,regular
10784077,created_by,JOSM,regular
10784134,created_by,JOSM,regular
10994020,ref,193,regular
10994020,name,Trafikplats Frötuna,regular
10994020,highway,motorway_junction,regular
10994020,road_ref,E 18,exit
11013965,highway,traffic_signals,regular
11021623,highway,crossing,regular
11084586,highway,traffic_signals,regular
11088959,bus,yes,regular
11088959,highway,bus_stop,regular
11088959,traffic_calming,choker,regular
11088959,public_transport,stop_position,regular
13448912,highway,turning_circle,regular
13450740,highway,turning_circle,regular
13795291,created_by,JOSM,regular
13795363,created_by,JOSM,regular
13821155,created_by,JOSM,regular
16362485,name,Hasseludden,regular
16362485,ferry,yes,regular
16362485,amenity,ferry_terminal,regular
16362485,operator,Waxholmsbolaget,regular
16362485,description,"Several ferries per hour to Strömkajen, just in front of the Grand Hotel in central Stockholm",regular
16362485,public_transport,stop_position,regular
